Abbreviation,Blank,Category,Cluster Group,Country,Created Month,Created Year,Date Created,Title,Title of Channel,Type,Youtuber,Average Channel Age,Created Date,Gross tertiary education enrollment (%),Highest Monthly Earnings,Highest Yearly Earnings,Latitude,Longitude,Lowest Monthly Earnings,Lowest Yearly Earnings,Measure Correlation Formula ,Measure Formula,Population,Rank,Subscribers,Subscribers For Last 30 Days,Total Countries Represented,Unemployment rate,Uploads,Urban population,Video Views,Video Views For The Last 30 Days
US,,Howto & Style,Cluster 1,United States,Jan,2016,22-01-2016,Tasty,Tasty,Howto & Style,Tasty,9.328767123,22,88.2,98800,1200000,37.09024,-95.712891,6200,74100,1200000,21100000,328239523,351,21100000,200000,1,14.7,4728,270663028,5783557209,24691000
ID,,People & Blogs,Cluster 2,Indonesia,Jun,2016,04-06-2016,Baim Paula,Baim Paula,People & Blogs,Baim Paula,8.961643836,4,36.3,107900,1300000,-0.789275,113.921327,6700,80900,1300000,21100000,270203917,352,21100000,100000,1,4.69,2325,151509724,4526271677,26974000
US,,Entertainment,Cluster 1,United States,Jul,2006,21-07-2006,nigahiga,nigahiga,Entertainment,nigahiga,18.841095890,21,88.2,9900,118900,37.09024,-95.712891,619,7400,118900,21000000,328239523,353,21000000,200000,1,14.7,403,270663028,4380564906,2476000
BR,,Entertainment,Cluster 1,Brazil,Aug,2015,26-08-2015,Rafa & Luiz,Rafa & Luiz,Entertainment,Rafa & Luiz,9.736986301,26,51.3,473600,5700000,-14.235004,-51.92528,29600,355200,5700000,21000000,212559417,354,21000000,400000,1,12.08,2883,183241641,7762905663,118410000
US,,Entertainment,Cluster 1,United States,Mar,2013,25-03-2013,Lyrical Lemonade,Lyrical Lemonade,Entertainment,Lyrical Lemonade,12.158904110,25,88.2,320200,3800000,37.09024,-95.712891,20000,240200,3800000,21000000,328239523,355,21000000,100000,1,14.7,420,270663028,10631638628,80062000
US,,Others,Cluster 1,United States,Nov,2018,09-11-2018,Vlad and Niki IDN,Vlad and Niki IDN,Others,Vlad and Niki IDN,6.528767123,9,88.2,533400,6400000,37.09024,-95.712891,33300,400100,6400000,21000000,328239523,356,21000000,300000,1,14.7,498,270663028,9789121606,133362000
IN,,Education,Cluster 3,India,Dec,2013,06-12-2013,Dr. Vivek Bindra: Motivational Speaker,Dr. Vivek Bindra: Motivational Speaker,Education,Dr. Vivek Bindra: Motivational Speaker,11.457534247,6,28.1,114400,1400000,20.593684,78.96288,7100,85800,1400000,20900000,1366417754,357,20900000,100000,1,5.36,896,471031528,1693149479,28588000
BR,,Entertainment,Cluster 1,Brazil,Sep,2013,26-09-2013,Fatos Desconhecidos,Fatos Desconhecidos,Entertainment,Fatos Desconhecidos,11.652054795,26,51.3,209300,2500000,-14.235004,-51.92528,13100,157000,2500000,20900000,212559417,358,20900000,100000,1,12.08,6262,183241641,3828000587,52330000
US,,Pets & Animals,Cluster 1,United States,Sep,2014,08-09-2014,Brave Wilderness,Brave Wilderness,Pets & Animals,Brave Wilderness,10.701369863,8,88.2,0,0,37.09024,-95.712891,0,0,0,20900000,328239523,359,20900000,100000,1,14.7,982,270663028,4927879069,2989000
US,,People & Blogs,Cluster 1,United States,Aug,2020,18-08-2020,LIV Crime,LIV Crime,People & Blogs,LIV Crime,4.753424658,18,88.2,1500000,18400000,37.09024,-95.712891,95900,1200000,18400000,20900000,328239523,360,20900000,600000,1,14.7,9850,270663028,11058049885,383700000
